"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "XML", "TypeScript React", "CSS", "HTML", "Log", "comment", "blank", "total"
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\EditTab_main.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 21, 85, 592
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\EditTab_notes.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 3, 6, 43
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\GapAfterTab.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 4, 23, 153
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Grid.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 2, 44, 262
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\NoteInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 1, 13, 96
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\RSS_reactQuery.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 4, 38, 225
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\SingleBookmark.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 288, 0, 0, 0, 17, 43, 348
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\SingleRssNews.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 10, 66
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\LowerUI\Tab.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 14, 56, 597
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Main.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 13, 28, 274
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\MainRoute.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 1, 12, 146
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\MainWrapper.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 6, 20, 93
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Shared\BookmarkErrors_render.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 2, 13, 50
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Shared\Bookmark_newAndEdit.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 208, 0, 0, 0, 12, 43, 263
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Shared\SelectableList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 3, 31, 206
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\Shared\TabErrors_render.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 15, 63
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\BackgroundColor.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 16, 84
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\BackgroundSettings.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 358, 0, 0, 0, 0, 27, 385
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\BackgroundSettings_Upload.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 3, 16, 139
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\ColorsSettings.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 24, 332
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\ColumnColor.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 3, 13, 153
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\ColumnColor_OneColorX4.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 2, 14, 113
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\GlobalSettings.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 31, 476
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\Message.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 7, 15, 77
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\ModalWrap.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 6, 24
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\NewBookmark_UpperUI.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 404, 0, 0, 0, 10, 54, 468
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\NewTab.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 539, 0, 0, 0, 11, 48, 598
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\Reset.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 12, 84
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\Settings_inner.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 9, 97
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\UpperLeftMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 3, 15, 128
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\UpperRightMenu.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 4, 17, 248
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\UpperRightMenu_XS.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 5, 13, 256
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\components\UpperUI\UpperUI.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 3, 14
"d:\PROJECT SYNC\REACT APPS\personal-homepage-MERN\client\src\context\tabContext.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 25
